닉네임,직업,레벨,최근 접속 일수,무릉층수,무릉시간
산퀸,데몬슬레이어,263,1,50,13분 36초
몬스터너무쌤,나이트로드,263,1,52,14분 17초
머무는난,비숍,256,1,49,13분 34초
루지숍,비숍,255,1,48,14분 51초
예언,루미너스,253,7,23,37분 35초
전탄님,메카닉,251,1,55,14분 8초
안닿음,듀얼블레이더,250,1,50,14분 40초
그나갓,듀얼블레이더,249,1,52,14분 22초
로루므,섀도어,247,1,48,14분 40초
나의꼬마법사,비숍,246,1,48,14분 51초
척척박사윤,팬텀,245,1,48,13분 14초
떠비나로,나이트로드,240,1,52,14분 56초
수키듀블,듀얼블레이더,220,1,41,52분 17초
입롤터는상현,제로,268,1,52,14분 36초
에루로스,윈드브레이커,261,58,52,14분 8초
히키5,데몬어벤져,261,1,51,14분 17초
쫑범,아크메이지(썬콜),261,1,51,14분 41초
토켜,나이트로드,260,1,-,-
새비전,팔라딘,257,10,48,14분 39초
등업,섀도어,257,4,46,13분 21초
부나야,은월,255,1,53,13분 55초
몰랑이세계,카데나,255,1,52,13분 38초
코이시,아크메이지(썬콜),255,1,49,12분 34초
류드그의의지,히어로,255,4,48,14분 27초
윤본좌,메르세데스,254,3,48,13분 47초
헝솜,제로,254,1,52,14분 20초
헨탭,듀얼블레이더,252,2,49,11분 38초
Love제클린,아란,252,1,49,12분 24초
지의,섀도어,252,1,49,12분 42초
각sugar,제로,252,1,47,13분 7초
에이츠,제로,251,1,49,12분 17초
RIDER,제논,251,1,-,-
Atresia,메르세데스,251,6,50,13분 44초
연하얀색,팬텀,251,1,48,13분 1초
총괄형,제로,251,1,48,13분 42초
유적나무,패스파인더,250,1,44,14분 6초
솜풍,아크,250,1,49,12분 36초
Noryuk,윈드브레이커,250,1,1,0분 18초
유리시계,제로,250,1,50,14분 36초
쑬양,윈드브레이커,249,1,48,13분 47초
움생,일리움,249,5,-,-
Lv개부족,캐논마스터,249,1,43,13분 35초
쥬멍,카이저,248,1,48,14분 25초
유미냐옹,패스파인더,248,1,47,13분 54초
병맛엠버,엔젤릭버스터,248,1,47,12분 13초
요샤,윈드브레이커,247,55,51,14분 5초
또뚜,패스파인더,247,34,48,13분 8초
제빵웅,제로,247,1,48,14분 35초
잘생긴,캐논마스터,246,37,53,14분 54초
토끼나라벤져,데몬어벤져,246,1,48,12분 55초
여름날물망초,비숍,245,1,45,13분 31초
병인님,아란,245,1,50,14분 29초
낸끝,스트라이커,245,4,48,12분 39초
석두림,제로,245,1,47,13분 42초
시력없는명철,소울마스터,245,1,46,12분 22초
란비엣,듀얼블레이더,244,4,49,11분 43초
카이락,키네시스,244,1,45,12분 49초
하준영,아란,244,2,46,12분 34초
청방권,아란,244,1,47,13분 2초
